id,name,main_artist,artists,n_artists,year,decade,primary_genre,explicit,key,mode,popularity,popularity_pct_in_year,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,valence_norm,acousticness_norm,danceability_norm,energy_norm,instrumentalness_norm,liveness_norm,loudness_norm,speechiness_norm,tempo_norm,duration_ms_norm,popularity_norm
3WLZVHpkOSj09DEjY2OF0w,Les Moins De Cent Ans,Georgius,['Georgius'],1,1929,1920,vintage chanson,0,7,1,0,0.4726890756302521,0.799,0.8320000000000001,0.636,0.365,0.0,0.138,-13.011,0.321,143.499,175636,0.799,0.8353413654618475,0.6437246963562753,0.365,0.0,0.138,0.7358703312191686,0.3309278350515464,0.5893013342532247,0.03158866566192303,0.0
0ktEm2cAtanUumDHjsHnCt,"Preludes: Op. 16, No. 1 in B",Alexander Scriabin,"['Alexander Scriabin', 'Vladimir Horowitz']",2,1928,1920,early modern classical,0,11,1,0,0.40087232355273594,0.253,0.995,0.277,0.00573,0.8640000000000001,0.0716,-28.989,0.0515,76.57,172560,0.253,0.998995983935743,0.28036437246963564,0.00573,0.8640000000000001,0.0716,0.4856471693680996,0.05309278350515464,0.3144468126172964,0.031018866358723116,0.0
0GIktGq7pSVBKqhVd546e9,Pata de Palo - Remasterizado,Ignacio Corsini,['Ignacio Corsini'],1,1929,1920,tango,0,9,0,0,0.4726890756302521,0.923,0.991,0.583,0.264,5.400000000000001e-05,0.141,-18.241,0.289,73.046,99280,0.923,0.9949799196787149,0.590080971659919,0.264,5.400000000000001e-05,0.141,0.6539660167567145,0.2979381443298969,0.2999749493854386,0.01744445382995529,0.0
3hEr0bswt91Su6vZesp4eU,Siga el Tango - Remasterizado,Francisco Canaro,"['Francisco Canaro', 'Charlo']",2,1928,1920,tango,0,11,0,0,0.40087232355273594,0.855,0.995,0.757,0.0271,0.8959999999999999,0.106,-25.851,0.0907,116.883,176000,0.855,0.998995983935743,0.7661943319838057,0.0271,0.8959999999999999,0.106,0.534789758045572,0.09350515463917526,0.47999852160307505,0.031656093147737326,0.0
1RbMFGrmjmQbhLPHJqCmZO,A Solas - Instrumental (Remasterizado),Francisco Canaro,['Francisco Canaro'],1,1928,1920,tango,0,10,1,0,0.40087232355273594,0.778,0.993,0.7929999999999999,0.133,0.8140000000000001,0.243,-12.907,0.0999,115.426,170013,0.778,0.9969879518072289,0.8026315789473684,0.133,0.8140000000000001,0.243,0.7374990212199516,0.10298969072164949,0.47401512071521557,0.030547059198368698,0.0
7M9RSBO5Geg1y3oQCy57gx,Sidewalk Blues,Jelly Roll Morton,['Jelly Roll Morton'],1,1926,1920,big band,0,3,1,1,0.6984760522496372,0.741,0.967,0.569,0.42,0.18,0.113,-6.394,0.051,77.87,209493,0.741,0.9708835341365462,0.575910931174089,0.42,0.18,0.113,0.8394957325189883,0.05257731958762887,0.31978546817955955,0.037860348044380626,0.01
3xEdzvZyv8G8VIBp3IAcW9,Часть 3.2 - Фиеста,Эрнест Хемингуэй,['Эрнест Хемингуэй'],1,1926,1920,unknown,1,6,0,0,0.28265602322206096,0.375,0.0708,0.6729999999999999,0.312,0.0,0.342,-15.257,0.953,95.808,102200,0.375,0.07108433734939759,0.6811740890688258,0.312,0.0,0.342,0.7006968913945659,0.9824742268041237,0.39345070162254064,0.017985355639234795,0.0
50sFUQNfaNFjC6Jon8CqHf,Часть 45.3 - Фиеста,Эрнест Хемингуэй,['Эрнест Хемингуэй'],1,1926,1920,unknown,1,5,0,0,0.28265602322206096,0.455,0.0729,0.691,0.289,0.0,0.139,-12.514,0.937,89.712,97600,0.455,0.07319277108433736,0.6993927125506072,0.289,0.0,0.139,0.7436535901652181,0.9659793814432991,0.3684165136936515,0.01713325004927393,0.0
2kxqxpB6nTkFNrDuBYxwhk,Luna Gaucha - Remasterizado,Ignacio Corsini,['Ignacio Corsini'],1,1925,1920,tango,0,4,0,0,0.26798561151079137,0.579,0.994,0.5489999999999999,0.0829,0.887,0.11,-22.695,0.0556,65.139,135200,0.579,0.9979919678714859,0.5556680161943319,0.0829,0.887,0.11,0.5842142353770261,0.05731958762886598,0.2675036035925045,0.024098287045475765,0.0
3zFI8jIpMTksEZ6jQKQpRm,Часть 56.3 - Прощай оружие,Эрнест Хемингуэй,['Эрнест Хемингуэй'],1,1929,1920,unknown,1,0,1,0,0.4726890756302521,0.6809999999999999,0.453,0.7040000000000001,0.259,0.0,0.394,-19.324,0.893,86.634,99900,0.6809999999999999,0.45481927710843373,0.7125506072874495,0.259,0.0,0.394,0.6370057160754836,0.920618556701031,0.35577621998546244,0.017559302844254363,0.0
6AHez93DFQ4RvNTgwnMRnU,Un ballo in maschera: Eri tu che macchiavi,Giuseppe Verdi,"['Giuseppe Verdi', 'Mattia Battistini', 'Unknown Orchestra']",3,1928,1920,classical,0,6,1,0,0.40087232355273594,0.142,0.995,0.219,0.1,2.69e-06,0.1,-14.671,0.0388,78.406,241369,0.142,0.998995983935743,0.2216599190283401,0.1,2.69e-06,0.1,0.7098739331297471,0.04,0.32198663693446183,0.04376506930211811,0.0
06F7M1RVA1idS5yRKchPeu,"Mazurkas, Op. 17: No. 4 in A Minor",Frédéric Chopin,"['Frédéric Chopin', 'Grigori Ginzburg']",2,1926,1920,classical,0,9,0,0,0.28265602322206096,0.0388,0.996,0.28,0.0109,0.94,0.223,-24.882,0.0401,78.627,205733,0.0388,1.0,0.2834008097165992,0.0109,0.94,0.223,0.5499647639182522,0.04134020618556701,0.32289420838004657,0.03716384434476044,0.0
5U0eYX21WnH31y2u4PEHBa,"Humoreske, Op. 20: Sehr lebhaft",Robert Schumann,"['Robert Schumann', 'Vladimir Horowitz']",2,1928,1920,classical,0,10,1,0,0.40087232355273594,0.371,0.99,0.37,0.172,0.92,0.3670000000000001,-20.466,0.0351,72.61399999999998,111427,0.371,0.9939759036144579,0.37449392712550605,0.172,0.92,0.3670000000000001,0.6191214470284238,0.036185567010309276,0.29820087307551724,0.019694568308488897,0.0
0zeSDxsLftNTfxMnx3xDDj,Baking Dough (Money on My Mind),Numba 9,['Numba 9'],1,1927,1920,unknown,1,6,0,0,0.43577235772357725,0.524,0.122,0.75,0.34,0.0,0.248,-10.906,0.439,80.717,191765,0.524,0.12248995983935743,0.7591093117408907,0.34,0.0,0.248,0.7688356432542479,0.45257731958762887,0.3314771238609157,0.03457640719680972,0.0
4e32fQ2j0BmXPPdb1SZxB1,Stranger,D-Partunz,['D-Partunz'],1,1928,1920,unknown,0,8,1,0,0.40087232355273594,0.353,0.0276,0.782,0.7,0.8759999999999999,0.0765,-3.02,0.0443,119.969,440072,0.353,0.027710843373493974,0.7914979757085021,0.7,0.8759999999999999,0.0765,0.892334194659776,0.04567010309278351,0.49267166857626266,0.08057288170255143,0.0
